Key,weightNO3,iteration,weightNH4,weightNO2,Hybrid2 (nM/day),Feature,Nitrification (nM/day),f,Denit fromNO2- (nM/day),cost,Denit from NO3- (nM/day),Station,Denit from NO2- (nM/day)
PS2Deep ODZ core,0.45,33,0.45,0.1,0.0247194306135563,Deep ODZ core,0.0,0.4965603681425434,,4.328102588665767,0.1851829888152601,PS2,0.0050392731370623
PS2Deep ODZ core,0.45,51,0.45,0.1,0.0071884035742199,Deep ODZ core,0.0,0.0046913944203171,,3.831943535600969,0.2654260822687294,PS2,0.0051595395766194
PS2Deep ODZ core,0.45,48,0.45,0.1,0.0062334699481878,Deep ODZ core,0.0,0.3747833896099479,,4.069592477999668,0.1854159060227429,PS2,0.0051440372485124
PS2Deep ODZ core,0.45,36,0.45,0.1,0.0199291412537311,Deep ODZ core,0.0003353784160504,0.4975806350930047,,3.6069099197883343,0.1391595767145984,PS2,0.0055447940022169
PS2Deep ODZ core,0.45,39,0.45,0.1,0.0238948947771526,Deep ODZ core,0.0,0.4921355285086915,,4.300550989050015,0.2016181815406524,PS2,0.0051079312803431
PS2Deep ODZ core,0.45,45,0.45,0.1,0.0068747478994907,Deep ODZ core,0.0,0.4049292484496365,,4.5686996726170905,0.2427857340397488,PS2,0.0048816322560428
PS2Deep ODZ core,0.45,50,0.45,0.1,0.0249302677898527,Deep ODZ core,0.0,0.4970454807274,,4.214974709073491,0.179762469173497,PS2,0.005285110172212
PS2Deep ODZ core,0.45,63,0.45,0.1,0.0003104058191199,Deep ODZ core,0.0,0.0,,4.062624686981014,0.2676179900729127,PS2,0.005103851231957
PS2Deep ODZ core,0.45,49,0.45,0.1,0.0085121089419893,Deep ODZ core,0.0,0.4337010195821871,,4.322770766291285,0.3153380229474467,PS2,0.0053405086573348
PS2Deep ODZ core,0.45,42,0.45,0.1,0.0234171638670293,Deep ODZ core,0.0,0.4957730781806627,,4.312667843399327,0.1693277432572284,PS2,0.0052603051860064
PS2Deep ODZ core,0.45,65,0.45,0.1,2.0232192250883322e-07,Deep ODZ core,0.0,0.0890258133861628,,4.1961522001894105,0.3165676358350164,PS2,0.0050807738493739
PS2Deep ODZ core,0.45,67,0.45,0.1,0.0036462797723997,Deep ODZ core,0.0,0.0,,3.9971171669769534,0.1744465973539214,PS2,0.0063836782283457
PS2Deep ODZ core,0.45,69,0.45,0.1,0.0005192068080361,Deep ODZ core,0.0,0.0,,4.204166185707319,0.2203248305583368,PS2,0.0049881668221139
PS2Deep ODZ core,0.45,56,0.45,0.1,0.0179581835590362,Deep ODZ core,0.0,0.4976456067989027,,3.720042871538448,0.1855289257748317,PS2,0.0053229493244323
PS2Deep ODZ core,0.45,68,0.45,0.1,0.0002708265871385,Deep ODZ core,0.0,0.0,,4.132704653490974,0.2066375238072657,PS2,0.0050885408498891
PS2Deep ODZ core,0.45,55,0.45,0.1,0.0051365674335901,Deep ODZ core,0.0,0.3251417345829428,,4.4231871697913325,0.1233207550771644,PS2,0.0052579284866941
PS2Deep ODZ core,0.45,71,0.45,0.1,0.0075560191284071,Deep ODZ core,0.0,0.0,,3.7450623472983975,0.2246667327604789,PS2,0.0052868198898134
