Key,Denit from NO3- (nM/day),Feature,Station,weightNO2,Denit fromNO2- (nM/day),f,Hybrid2 (nM/day),weightNO3,weightNH4,cost,iteration,Nitrification (nM/day),Denit from NO2- (nM/day)
PS2Top of oxycline,0.0,Top of oxycline,PS2,0.3333333333333333,,1.0,0.0001647618804395,0.3333333333333333,0.3333333333333333,0.3332607099504117,36,5.853161319110006e-06,0.0
PS2Top of oxycline,0.0,Top of oxycline,PS2,0.3333333333333333,,1.0,0.0002010723084029,0.3333333333333333,0.3333333333333333,0.326073900767343,9,1.3655821227098454e-05,0.0
PS2Top of oxycline,0.0,Top of oxycline,PS2,0.3333333333333333,,1.0,0.0002159435462232,0.3333333333333333,0.3333333333333333,0.3346621382014129,10,8.618514279073103e-06,0.0
PS2Top of oxycline,0.0,Top of oxycline,PS2,0.3333333333333333,,1.0,0.0002095639012964,0.3333333333333333,0.3333333333333333,0.3286144585050825,7,1.224100468011243e-05,0.0
PS2Top of oxycline,0.0,Top of oxycline,PS2,0.3333333333333333,,1.0,0.0002162552588535,0.3333333333333333,0.3333333333333333,0.3313631163277394,21,1.3752906801703544e-05,0.0
PS2Top of oxycline,0.0,Top of oxycline,PS2,0.3333333333333333,,1.0,0.0002014947684007,0.3333333333333333,0.3333333333333333,0.328138810999265,35,3.319603668321075e-06,0.0
PS2Top of oxycline,0.0,Top of oxycline,PS2,0.3333333333333333,,1.0,0.0001430767179698,0.3333333333333333,0.3333333333333333,0.3381570424247117,44,7.31859465002775e-06,0.0
PS2Top of oxycline,0.0,Top of oxycline,PS2,0.3333333333333333,,0.9999726613144688,0.0002134654024391,0.3333333333333333,0.3333333333333333,0.3286249164897548,25,1.3302342821532835e-05,0.0
PS2Top of oxycline,0.0,Top of oxycline,PS2,0.3333333333333333,,1.0,0.0002106234325494,0.3333333333333333,0.3333333333333333,0.3287556477434614,29,1.117216257936245e-05,0.0
PS2Top of oxycline,0.0,Top of oxycline,PS2,0.3333333333333333,,1.0,0.0002030236938309,0.3333333333333333,0.3333333333333333,0.3252570131628177,22,1.8207424778533305e-05,0.0
PS2Top of oxycline,0.0,Top of oxycline,PS2,0.3333333333333333,,0.999983238624049,0.0002009065975223,0.3333333333333333,0.3333333333333333,0.3252767212365041,30,1.2801296620874848e-05,0.0
PS2Top of oxycline,0.0,Top of oxycline,PS2,0.3333333333333333,,0.9996208081036252,0.0002002513551074,0.3333333333333333,0.3333333333333333,0.3240234255456387,31,1.8977239299476408e-05,0.0
PS2Top of oxycline,0.0,Top of oxycline,PS2,0.3333333333333333,,1.0,0.0001646247965203,0.3333333333333333,0.3333333333333333,0.3314084403672753,46,7.471306904691781e-06,0.0
PS2Top of oxycline,0.0,Top of oxycline,PS2,0.3333333333333333,,1.0,0.0001484489734319,0.3333333333333333,0.3333333333333333,0.3345190270454831,47,7.644873167916446e-06,0.0
PS2Top of oxycline,0.0,Top of oxycline,PS2,0.3333333333333333,,1.0,0.0001929506134542,0.3333333333333333,0.3333333333333333,0.3254904932910304,37,1.4234439210671982e-05,0.0
PS2Top of oxycline,0.0,Top of oxycline,PS2,0.3333333333333333,,1.0,0.0001709615730008,0.3333333333333333,0.3333333333333333,0.3293581504594363,49,7.513978071506778e-06,0.0
PS2Top of oxycline,0.0,Top of oxycline,PS2,0.3333333333333333,,1.0,0.0002140376726869,0.3333333333333333,0.3333333333333333,0.3269370181707659,27,1.6705116759158243e-05,0.0
PS2Top of oxycline,0.0,Top of oxycline,PS2,0.3333333333333333,,1.0,0.0001714980380621,0.3333333333333333,0.3333333333333333,0.3318087169918234,50,8.320591318749176e-06,0.0
PS2Top of oxycline,0.0,Top of oxycline,PS2,0.3333333333333333,,1.0,0.0001502159917358,0.3333333333333333,0.3333333333333333,0.3357472744466584,53,5.242846770457118e-06,0.0
PS2Top of oxycline,0.0,Top of oxycline,PS2,0.3333333333333333,,1.0,0.0002057352791169,0.3333333333333333,0.3333333333333333,0.3265393820265141,45,1.6854469216706208e-05,0.0
PS2Top of oxycline,0.0,Top of oxycline,PS2,0.3333333333333333,,1.0,0.0002048963180382,0.3333333333333333,0.3333333333333333,0.3259322909203185,20,1.55066226791556e-05,0.0
PS2Top of oxycline,0.0,Top of oxycline,PS2,0.3333333333333333,,1.0,0.0001607513886077,0.3333333333333333,0.3333333333333333,0.3330960966098937,56,5.359379082724027e-06,0.0
PS2Top of oxycline,0.0,Top of oxycline,PS2,0.3333333333333333,,1.0,0.0002128684373165,0.3333333333333333,0.3333333333333333,0.3274843275971807,38,1.4247222903617725e-05,0.0
PS2Top of oxycline,0.0,Top of oxycline,PS2,0.3333333333333333,,1.0,0.0002112788165497,0.3333333333333333,0.3333333333333333,0.3294947926487676,51,1.0217862749987912e-05,0.0
PS2Top of oxycline,0.0,Top of oxycline,PS2,0.3333333333333333,,1.0,0.0001410754030343,0.3333333333333333,0.3333333333333333,0.3360326116022735,61,6.721589268867021e-06,0.0
PS2Top of oxycline,0.0,Top of oxycline,PS2,0.3333333333333333,,1.0,0.000202752474428,0.3333333333333333,0.3333333333333333,0.3279864179882396,55,1.5024549927659527e-05,0.0
PS2Top of oxycline,0.0,Top of oxycline,PS2,0.3333333333333333,,1.0,0.0002150031135235,0.3333333333333333,0.3333333333333333,0.3352393538295543,42,8.77768683919937e-06,0.0
PS2Top of oxycline,0.0,Top of oxycline,PS2,0.3333333333333333,,0.9999696989536612,0.0002013215348802,0.3333333333333333,0.3333333333333333,0.325748359602856,52,1.234973595699704e-05,0.0
PS2Top of oxycline,0.0,Top of oxycline,PS2,0.3333333333333333,,1.0,0.0002054141664642,0.3333333333333333,0.3333333333333333,0.3286442738012174,39,1.3742524276055009e-05,0.0
PS2Top of oxycline,0.0,Top of oxycline,PS2,0.3333333333333333,,1.0,0.0002130878777538,0.3333333333333333,0.3333333333333333,0.3320519689232406,43,1.0523043352470962e-05,0.0
