Key,Denit fromNO2- (nM/day),f,cost,Station,Denit from NO3- (nM/day),Nitrification (nM/day),weightNO3,weightNH4,iteration,Hybrid2 (nM/day),weightNO2,Feature,Denit from NO2- (nM/day)
PS3Deep ODZ core,,0.407822802633941,3.627718972375476,PS3,0.0463831119038181,1.1352934253088595e-05,0.3333333333333333,0.3333333333333333,17,0.0361582619824195,0.3333333333333333,Deep ODZ core,0.0138697893136665
PS3Deep ODZ core,,0.4083281519731447,3.1154708251781256,PS3,0.0288403491885617,4.9422525301089975e-05,0.3333333333333333,0.3333333333333333,15,0.0332637490007172,0.3333333333333333,Deep ODZ core,0.0138227643498152
PS3Deep ODZ core,,0.4068850354213643,3.6123689038199687,PS3,0.0389776917659824,1.819836875905876e-05,0.3333333333333333,0.3333333333333333,10,0.036796508253645,0.3333333333333333,Deep ODZ core,0.0146491628998447
PS3Deep ODZ core,,0.4088275915727911,2.843145881235867,PS3,0.0310519077404009,0.0,0.3333333333333333,0.3333333333333333,11,0.0327988110007992,0.3333333333333333,Deep ODZ core,0.0137592779045051
PS3Deep ODZ core,,0.4077743608542262,3.366508738569105,PS3,0.0378724904359115,1.142260043716546e-05,0.3333333333333333,0.3333333333333333,3,0.0370094897707701,0.3333333333333333,Deep ODZ core,0.0137616345558465
PS3Deep ODZ core,,0.4093804837611678,2.9125798745971965,PS3,0.0388885998593545,1.0090350573562816e-05,0.3333333333333333,0.3333333333333333,14,0.0320548123236737,0.3333333333333333,Deep ODZ core,0.0138214190040973
PS3Deep ODZ core,,0.4066768282304758,3.8744707240116703,PS3,0.0353221644269661,0.0001353439989277,0.3333333333333333,0.3333333333333333,18,0.0364857511549979,0.3333333333333333,Deep ODZ core,0.0144579413761528
PS3Deep ODZ core,,0.4103818412988314,2.486135397110618,PS3,0.0343303862847659,1.3827695325636366e-05,0.3333333333333333,0.3333333333333333,23,0.0323092726938503,0.3333333333333333,Deep ODZ core,0.0130704059771406
PS3Deep ODZ core,,0.4106238904575,3.0156520747228712,PS3,0.0481882580290696,3.016674828971409e-05,0.3333333333333333,0.3333333333333333,24,0.0307300158006192,0.3333333333333333,Deep ODZ core,0.012820873764446
PS3Deep ODZ core,,0.4094299460784976,2.474431966298426,PS3,0.0413756756308026,1.624774010678334e-05,0.3333333333333333,0.3333333333333333,21,0.032837496653532,0.3333333333333333,Deep ODZ core,0.0135650243362781
PS3Deep ODZ core,,0.4093724644922274,3.0331948183630986,PS3,0.0274664181498808,1.4095866970292831e-05,0.3333333333333333,0.3333333333333333,20,0.0326627997904462,0.3333333333333333,Deep ODZ core,0.0128366698576762
PS3Deep ODZ core,,0.4092594198354231,3.0637884023637056,PS3,0.0354706447335803,1.4640023644598012e-05,0.3333333333333333,0.3333333333333333,28,0.032253610047991,0.3333333333333333,Deep ODZ core,0.0130452865444728
PS3Deep ODZ core,,0.4114150499091364,2.578741202298605,PS3,0.0414158685701762,2.5647541887826068e-05,0.3333333333333333,0.3333333333333333,29,0.029471068367867,0.3333333333333333,Deep ODZ core,0.0123775885880828
PS3Deep ODZ core,,0.4066149561233643,3.4210754501350853,PS3,0.0367138112284088,3.142352868874786e-07,0.3333333333333333,0.3333333333333333,25,0.0335381601975349,0.3333333333333333,Deep ODZ core,0.0140089997450494
PS3Deep ODZ core,,0.4087744942449851,2.973005483108605,PS3,0.0336147588601214,1.449593840623837e-05,0.3333333333333333,0.3333333333333333,22,0.0319816827066061,0.3333333333333333,Deep ODZ core,0.0134342408327539
PS3Deep ODZ core,,0.4083432669044311,3.3202317663250334,PS3,0.0366645863855753,8.259559037822297e-06,0.3333333333333333,0.3333333333333333,37,0.0340025735855559,0.3333333333333333,Deep ODZ core,0.0130363648363054
PS3Deep ODZ core,,0.4096603667454263,2.9527509844384547,PS3,0.0335122292383583,0.0,0.3333333333333333,0.3333333333333333,27,0.0323006334865332,0.3333333333333333,Deep ODZ core,0.0127732613938269
