Key,Denit from NO3- (nM/day),Denit fromNO2- (nM/day),f,Nitrification (nM/day),cost,weightNO2,Feature,Hybrid2 (nM/day),Station,weightNH4,weightNO3,iteration,Denit from NO2- (nM/day)
PS2SCM,0.544101081092906,,0.4000758684230948,0.0,4.45545439400698,0.1,SCM,0.0724671204412603,PS2,0.45,0.45,25,0.0434583106255611
PS2SCM,0.8142703947622865,,0.3695803910542774,0.0,6.248878302052589,0.1,SCM,0.0522014721524922,PS2,0.45,0.45,26,0.0420900234665478
PS2SCM,0.7679352270110774,,0.4022187003903845,0.0,6.179225384523232,0.1,SCM,0.0454909878119504,PS2,0.45,0.45,27,0.0413204062097286
PS2SCM,0.6705371677232047,,0.3939754096950714,0.0,5.775848672461823,0.1,SCM,0.0571048668955598,PS2,0.45,0.45,34,0.0421924447756863
PS2SCM,0.7619385967525906,,0.3872719754464442,0.0,6.2129927455685925,0.1,SCM,0.0572611109827127,PS2,0.45,0.45,36,0.043800878010899
PS2SCM,0.8317427609641558,,0.4236944730091608,0.0,5.69909381845173,0.1,SCM,0.0519559457370508,PS2,0.45,0.45,33,0.044277526985755
PS2SCM,0.7132878952317853,,0.3871835122600736,0.0,5.496111130003577,0.1,SCM,0.0658005986239229,PS2,0.45,0.45,22,0.0429083534519929
PS2SCM,0.7028763338378555,,0.3861479975880775,0.0,5.587596717318673,0.1,SCM,0.0620753802763922,PS2,0.45,0.45,37,0.0435167906451607
PS2SCM,0.6999355408423741,,0.3880848121674107,0.0,5.33011830928753,0.1,SCM,0.0631784711769593,PS2,0.45,0.45,35,0.0432418420093093
PS2SCM,0.8355193616918073,,0.5024502225312528,0.0,6.617266775684182,0.1,SCM,0.03072123237523,PS2,0.45,0.45,28,0.0442081561454791
PS2SCM,0.5844466602979083,,0.3896524892844423,0.0,4.925290856420126,0.1,SCM,0.0642424859917748,PS2,0.45,0.45,38,0.0430708787038935
PS2SCM,0.6617816864646626,,0.3863259609778231,0.0,5.083297450517705,0.1,SCM,0.0663723067955719,PS2,0.45,0.45,42,0.0414483545498638
PS2SCM,0.6294018397258822,,0.3971223295006956,0.0,4.73723251369359,0.1,SCM,0.0638360357886993,PS2,0.45,0.45,40,0.0412281186005127
PS2SCM,0.7901085640273878,,0.3801901325069274,0.0,6.092378091117552,0.1,SCM,0.0540704780197669,PS2,0.45,0.45,39,0.0428032405745417
PS2SCM,0.9839789799432138,,0.4682054942254829,0.0,5.979903329636562,0.1,SCM,0.0407258770177516,PS2,0.45,0.45,43,0.0436386801956226
PS2SCM,0.719786818829338,,0.0,0.0,7.25052497913963,0.1,SCM,0.0394222795540863,PS2,0.45,0.45,55,0.0421521194174453
PS2SCM,0.6507695263586031,,0.3968274276346029,0.0,4.499647891578815,0.1,SCM,0.063821942286379,PS2,0.45,0.45,44,0.040972865519689
PS2SCM,0.8673266114033381,,0.3898299932170013,0.0,5.265896505688686,0.1,SCM,0.0621338930098708,PS2,0.45,0.45,46,0.0415626251489951
PS2SCM,0.7787251669107408,,0.4963466083236604,0.0,6.237508911576822,0.1,SCM,0.0352364278937156,PS2,0.45,0.45,48,0.0418270522824883
PS2SCM,0.8271332154342123,,0.3928700053615849,0.0,5.332945459427505,0.1,SCM,0.0605160370709998,PS2,0.45,0.45,45,0.0414880612823168
PS2SCM,0.9085300843254324,,0.3745976445815058,0.0,6.146755257782534,0.1,SCM,0.0542206724032862,PS2,0.45,0.45,47,0.0428321372416555
PS2SCM,0.5334545737272073,,0.50744869003867,0.0,6.311047338526254,0.1,SCM,0.032543208292425,PS2,0.45,0.45,50,0.043565363699281
PS2SCM,0.7112463816651647,,0.383249077982623,0.0,5.352060583607827,0.1,SCM,0.0661746258660353,PS2,0.45,0.45,57,0.0417954269729334
PS2SCM,0.7961691126121094,,0.4948588006987089,0.0,6.419568637822615,0.1,SCM,0.0335603986875322,PS2,0.45,0.45,51,0.0431787981795496
PS2SCM,0.7668335880809528,,0.4713168058031929,0.0,5.843157006458805,0.1,SCM,0.0432975491549446,PS2,0.45,0.45,60,0.0418861167246372
PS2SCM,0.6798306240274229,,0.511644648565176,0.0,6.483687267041901,0.1,SCM,0.0274057468706001,PS2,0.45,0.45,56,0.0421104634188438
PS2SCM,0.6683541172755719,,0.3869862786778519,0.0,4.813033913562595,0.1,SCM,0.0662177925632093,PS2,0.45,0.45,49,0.0424585450917158
PS2SCM,0.6761997079133492,,0.3756407374415343,0.0,5.894656360880097,0.1,SCM,0.0620142083096193,PS2,0.45,0.45,61,0.0439005855825628
PS2SCM,0.8507469918146775,,0.4308708098876298,0.0,6.051705983589313,0.1,SCM,0.0481603543722186,PS2,0.45,0.45,58,0.0427914058248199
PS2SCM,0.674447271345101,,0.3966234558519073,0.0,5.678496021135332,0.1,SCM,0.0569004899870089,PS2,0.45,0.45,54,0.0429454655323066
PS2SCM,0.860999817808012,,0.4804674361302362,0.0,6.309494276075886,0.1,SCM,0.0363089599500319,PS2,0.45,0.45,59,0.0437422525314039
PS2SCM,0.5471944323039255,,0.4046826985302935,0.0,5.477244882979796,0.1,SCM,0.0604880954077784,PS2,0.45,0.45,52,0.0424067868600227
PS2SCM,0.6373515588463502,,0.4129721324184891,0.0,4.3802176827298736,0.1,SCM,0.069922954810342,PS2,0.45,0.45,63,0.0408602517215394
PS2SCM,0.8444676472749785,,0.4610293480639322,0.0,5.899859436252408,0.1,SCM,0.0466170772035655,PS2,0.45,0.45,53,0.0438920896152364
PS2SCM,0.7087935684772773,,0.5083630660490291,0.0,6.363728603787664,0.1,SCM,0.0313160682631942,PS2,0.45,0.45,64,0.0428089280890254
PS2SCM,0.8335448456484164,,0.3912816693227517,0.0,5.692795278067756,0.1,SCM,0.0541812819249633,PS2,0.45,0.45,62,0.0428380719585531
PS2SCM,0.8148715184356745,,0.0,0.0,7.5736828552652735,0.1,SCM,0.0336018595652406,PS2,0.45,0.45,76,0.0429430480480892
