Key,Hybrid2 (nM/day),Feature,iteration,Nitrification (nM/day),weightNO3,weightNH4,Denit fromNO2- (nM/day),weightNO2,Station,f,cost,Denit from NO3- (nM/day),Denit from NO2- (nM/day)
PS2Base of ODZ,0.0586107255722167,Base of ODZ,30,0.0,0.3333333333333333,0.3333333333333333,,0.3333333333333333,PS2,0.5644751978609944,43.783970042118725,0.0,0.0117893780110687
PS2Base of ODZ,0.069535313058043,Base of ODZ,24,0.0,0.3333333333333333,0.3333333333333333,,0.3333333333333333,PS2,0.5628673337235796,42.996042821299824,0.0,0.0135774794894132
PS2Base of ODZ,0.056850704476079,Base of ODZ,34,0.0,0.3333333333333333,0.3333333333333333,,0.3333333333333333,PS2,0.5730686798448542,44.694849316937855,0.0,0.0106844511318837
PS2Base of ODZ,0.0602443448730982,Base of ODZ,38,0.0,0.3333333333333333,0.3333333333333333,,0.3333333333333333,PS2,0.5723671757347205,43.13069111292194,0.0,0.0109032807698726
PS2Base of ODZ,0.0588947411653948,Base of ODZ,32,0.0,0.3333333333333333,0.3333333333333333,,0.3333333333333333,PS2,0.5645402447487577,46.94886572005291,0.0,0.0119964131716181
PS2Base of ODZ,0.058470513911387,Base of ODZ,37,0.0,0.3333333333333333,0.3333333333333333,,0.3333333333333333,PS2,0.5692629125063682,42.81689597884768,0.0,0.0114442803011075
PS2Base of ODZ,0.0647005792432052,Base of ODZ,29,0.0,0.3333333333333333,0.3333333333333333,,0.3333333333333333,PS2,0.5665927701255531,44.15786022391582,0.0,0.0127007277535422
PS2Base of ODZ,0.0584331728574102,Base of ODZ,23,0.0,0.3333333333333333,0.3333333333333333,,0.3333333333333333,PS2,0.5617279386321915,42.632011808323846,0.0,0.0124853030630871
PS2Base of ODZ,0.0570577155833791,Base of ODZ,31,0.0,0.3333333333333333,0.3333333333333333,,0.3333333333333333,PS2,0.5645444341726036,44.12649442855147,0.0,0.0120168758323593
PS2Base of ODZ,0.0685453010742495,Base of ODZ,39,0.0,0.3333333333333333,0.3333333333333333,,0.3333333333333333,PS2,0.5568559749063456,44.61239330260764,0.0,0.0144542998272377
PS2Base of ODZ,0.0699193501292495,Base of ODZ,41,0.0,0.3333333333333333,0.3333333333333333,,0.3333333333333333,PS2,0.5597453904949151,38.83775378562602,0.0,0.0135588733881186
PS2Base of ODZ,0.0568098675604499,Base of ODZ,42,0.0,0.3333333333333333,0.3333333333333333,,0.3333333333333333,PS2,0.5646312684926131,48.38393018345112,0.0,0.0118281710520437
PS2Base of ODZ,0.057090614912407,Base of ODZ,40,0.0,0.3333333333333333,0.3333333333333333,,0.3333333333333333,PS2,0.5647352459646382,42.99159668866627,0.0,0.0117608033376344
PS2Base of ODZ,0.0584259126741303,Base of ODZ,46,0.0,0.3333333333333333,0.3333333333333333,,0.3333333333333333,PS2,0.5640214571634621,44.68711024330244,0.0,0.0116526929599053
