Key,Denit fromNO2- (nM/day),Station,f,cost,iteration,Denit from NO3- (nM/day),weightNH4,Feature,weightNO2,Nitrification (nM/day),Hybrid2 (nM/day),weightNO3,Denit from NO2- (nM/day)
PS3Top of oxycline,,PS3,0.9999018032783752,0.6151302893718922,3,0.0,0.3333333333333333,Top of oxycline,0.3333333333333333,0.0002104758019342,6.544734635230995e-05,0.3333333333333333,5.566846376063974e-05
PS3Top of oxycline,,PS3,0.999970499509542,0.6151561661910234,6,0.0,0.3333333333333333,Top of oxycline,0.3333333333333333,0.0001804904385646,7.073763759581969e-05,0.3333333333333333,5.295275180164997e-05
PS3Top of oxycline,,PS3,0.9999968054417384,0.6166482606528171,2,0.0,0.3333333333333333,Top of oxycline,0.3333333333333333,0.0003856936775144,5.7112058898215255e-05,0.3333333333333333,5.20096147804727e-05
PS3Top of oxycline,,PS3,0.999932084726874,0.6164286023200327,16,0.0,0.3333333333333333,Top of oxycline,0.3333333333333333,0.0003470405753381,5.911043678047693e-05,0.3333333333333333,5.493197633690486e-05
PS3Top of oxycline,,PS3,0.9999640698281644,0.6144885367217117,12,0.0,0.3333333333333333,Top of oxycline,0.3333333333333333,0.0002124591033143,7.630833784150376e-05,0.3333333333333333,5.687113499903929e-05
PS3Top of oxycline,,PS3,0.999953565459546,0.6152277369165441,22,0.0,0.3333333333333333,Top of oxycline,0.3333333333333333,0.0002097956268581,7.064281664019779e-05,0.3333333333333333,5.491381721016788e-05
PS3Top of oxycline,,PS3,1.0,0.6161975569723168,14,0.0,0.3333333333333333,Top of oxycline,0.3333333333333333,0.0002650031460407,5.489426817382592e-05,0.3333333333333333,5.1727464950074286e-05
PS3Top of oxycline,,PS3,1.0,0.6158984756262103,25,0.0,0.3333333333333333,Top of oxycline,0.3333333333333333,0.0002757469540699,6.372581274566686e-05,0.3333333333333333,5.431356054559185e-05
PS3Top of oxycline,,PS3,0.99984205069295,0.615973359071815,23,0.0,0.3333333333333333,Top of oxycline,0.3333333333333333,0.0002671159686984,5.88388456296017e-05,0.3333333333333333,5.123948526518704e-05
PS3Top of oxycline,,PS3,0.9999179381652334,0.6154657394124021,31,0.0,0.3333333333333333,Top of oxycline,0.3333333333333333,0.0001997207624083,6.2057379861622e-05,0.3333333333333333,4.923291792898475e-05
PS3Top of oxycline,,PS3,0.999936219101526,0.6161593450274397,32,0.0,0.3333333333333333,Top of oxycline,0.3333333333333333,0.000239391666003,5.596628074692276e-05,0.3333333333333333,5.256752290669234e-05
PS3Top of oxycline,,PS3,0.9997971867195592,0.6155120459799204,29,0.0,0.3333333333333333,Top of oxycline,0.3333333333333333,0.0002106531494133,6.845081031014613e-05,0.3333333333333333,5.382396069933024e-05
