Key,cost,Denit fromNO2- (nM/day),weightNH4,iteration,f,Nitrification (nM/day),weightNO3,weightNO2,Hybrid2 (nM/day),Station,Feature,Denit from NO3- (nM/day),Denit from NO2- (nM/day)
PS3SCM,30.479998067394217,,0.45,6,0.4000029504235662,0.009409083305908,0.45,0.1,0.1549080638964661,PS3,SCM,1.5673196149698343,0.5258355460888932
PS3SCM,30.665807102108825,,0.45,12,0.438369919410607,0.0062973781792302,0.45,0.1,0.1288795503741984,PS3,SCM,1.6162382513589435,0.5112961489429627
PS3SCM,28.89140412577572,,0.45,18,0.0001195120895579,0.0083058529493091,0.45,0.1,0.1278818824448386,PS3,SCM,1.8001571513627317,0.4657454890369445
PS3SCM,29.63685104799517,,0.45,5,0.3127350942392923,0.0092802210121621,0.45,0.1,0.1903242427056501,PS3,SCM,1.5437140924399957,0.4762138078267131
PS3SCM,30.413830782161625,,0.45,20,0.4122359057681762,0.0064091924318072,0.45,0.1,0.1370798527173877,PS3,SCM,1.7688253445154756,0.4901229859477268
PS3SCM,30.172816833161622,,0.45,21,0.4000758536285174,0.0069561239462904,0.45,0.1,0.1554158615947883,PS3,SCM,1.819239310532996,0.483120582919597
PS3SCM,29.35322244468771,,0.45,14,0.0,0.0088538783703897,0.45,0.1,0.1345046863858766,PS3,SCM,1.840571616696792,0.4935989819295335
PS3SCM,30.687896589246886,,0.45,22,0.4446170152568748,0.006184887332742,0.45,0.1,0.1246123695255311,PS3,SCM,1.930079460769054,0.5505474389991384
PS3SCM,30.297149031685635,,0.45,24,0.422472276102762,0.0050821839874638,0.45,0.1,0.1406725617662081,PS3,SCM,1.3945383124711022,0.501130121359291
PS3SCM,30.50970755698925,,0.45,23,0.400528421308951,0.0094095351731317,0.45,0.1,0.1540402040035033,PS3,SCM,2.016918064038842,0.4988822523429946
PS3SCM,30.183116346843867,,0.45,26,0.3853374611373094,0.0076535729164258,0.45,0.1,0.1692775120643105,PS3,SCM,1.3812084767585124,0.5163454805446767
PS3SCM,30.44867687574741,,0.45,31,0.4248456230203947,0.0075941608372402,0.45,0.1,0.1479391668650282,PS3,SCM,1.2786195401753218,0.5313172434140134
PS3SCM,30.35335114220404,,0.45,30,0.4132282187865879,0.0067095824933125,0.45,0.1,0.1300234091020618,PS3,SCM,1.98090450864224,0.5194779386816181
PS3SCM,30.53312746179109,,0.45,28,0.4321162299411152,0.0078819485683575,0.45,0.1,0.1536632201402056,PS3,SCM,1.34329307274998,0.5319305045140241
PS3SCM,30.610432735241982,,0.45,33,0.4135371467818016,0.0055403200066581,0.45,0.1,0.1392656604135156,PS3,SCM,2.0686862273325137,0.4882210677281175
PS3SCM,30.23728675931532,,0.45,29,0.4097153981170591,0.0097885787635349,0.45,0.1,0.1627136604776034,PS3,SCM,1.7139976406931234,0.5838101888622226
PS3SCM,30.08402558715911,,0.45,25,0.367340209764273,0.0101035319227016,0.45,0.1,0.1707664886026426,PS3,SCM,1.4366365101474248,0.5104926580606889
PS3SCM,30.00095933815264,,0.45,37,0.353452529470749,0.0067361897468798,0.45,0.1,0.1670849482761614,PS3,SCM,1.7368965704591317,0.4566683648727307
PS3SCM,29.87117422500136,,0.45,32,0.2564721017097071,0.0117869720715367,0.45,0.1,0.1592135142912244,PS3,SCM,1.7610854108117946,0.5273637025164998
PS3SCM,30.14713948196012,,0.45,36,0.3918477338498686,0.0076448552003711,0.45,0.1,0.1591595331376059,PS3,SCM,1.188238152058023,0.4905265684969015
PS3SCM,30.59215981899251,,0.45,34,0.4330125711971315,0.0072454273357637,0.45,0.1,0.1510587520978798,PS3,SCM,1.6548542642995985,0.5046450888591024
PS3SCM,30.555533025866648,,0.45,39,0.4126012951320008,0.0073251900882988,0.45,0.1,0.1575245685233331,PS3,SCM,1.4690126930215357,0.5151688565372432
PS3SCM,30.429773260397845,,0.45,41,0.426410296050234,0.0077832807469658,0.45,0.1,0.1554311334603798,PS3,SCM,1.1316277572461353,0.5605434497189737
