Key,Nitrification (nM/day),Denit fromNO2- (nM/day),iteration,Feature,f,weightNO3,Denit from NO3- (nM/day),weightNO2,Hybrid2 (nM/day),cost,weightNH4,Station,Denit from NO2- (nM/day)
PS3Interface2,0.0,,39,Interface2,0.4964016933594211,0.45,1.6337938235430158,0.1,0.3245421251862317,38.710952029635614,0.45,PS3,0.0
PS3Interface2,0.0,,34,Interface2,0.4968125629547236,0.45,1.42024705611601,0.1,0.3653422691677662,43.28888190669697,0.45,PS3,0.0190264115708554
PS3Interface2,0.0,,43,Interface2,0.0,0.45,1.977137969127706,0.1,0.1673771815893813,47.11761226579362,0.45,PS3,0.0297185658417824
PS3Interface2,0.0,,42,Interface2,0.0,0.45,1.328259810041961,0.1,0.1477554637874575,47.24768484705721,0.45,PS3,0.0089768516815382
PS3Interface2,0.0,,49,Interface2,0.0001907446706987,0.45,0.3777479848272184,0.1,0.1592117472566046,60.86620554222536,0.45,PS3,0.0011674370270566
PS3Interface2,0.0,,13,Interface2,0.4965975667201947,0.45,2.004211474794959,0.1,0.2901454938256149,36.39150417891206,0.45,PS3,0.0182636408005102
PS3Interface2,0.0,,37,Interface2,0.4963650906864374,0.45,1.5347502894919955,0.1,0.2100821490443911,29.17431233815172,0.45,PS3,0.0
PS3Interface2,0.0,,38,Interface2,0.4964867697526592,0.45,1.6260779189723242,0.1,0.3052215108210122,37.76605149407701,0.45,PS3,0.0
PS3Interface2,0.0,,35,Interface2,0.4965158441044505,0.45,1.3916967532379985,0.1,0.3631691520710401,44.05253772211474,0.45,PS3,0.0197728508721278
PS3Interface2,0.0545765240372129,,16,Interface2,0.4787698286828312,0.45,1.541875944613076,0.1,0.1953301282659889,32.31693082687894,0.45,PS3,0.0
PS3Interface2,0.0,,41,Interface2,0.4964291551126712,0.45,1.2720438389779225,0.1,0.2762862429433624,34.29933242527062,0.45,PS3,0.0
PS3Interface2,0.0,,44,Interface2,0.4964426757553102,0.45,1.5137003998150458,0.1,0.2480625281730546,32.27882808228735,0.45,PS3,0.0002605111528771
PS3Interface2,0.0,,57,Interface2,0.4964600492971303,0.45,0.6509409773397364,0.1,0.2650221309537934,49.70735367753757,0.45,PS3,0.0027763597304061
PS3Interface2,0.0,,53,Interface2,0.0,0.45,1.569448279769472,0.1,0.1013173056429135,43.40839385265133,0.45,PS3,0.0
PS3Interface2,0.0,,40,Interface2,0.4960505873614522,0.45,2.297747395550073,0.1,0.204636432211831,34.187370071777934,0.45,PS3,0.0770105846541342
PS3Interface2,0.0,,51,Interface2,0.4967564184564901,0.45,2.047960631157,0.1,0.324436911893168,40.25418377922526,0.45,PS3,0.0012364518883207
PS3Interface2,0.0,,45,Interface2,0.4965557704892945,0.45,1.2621397440132298,0.1,0.319247243920767,37.78807278004968,0.45,PS3,0.0
PS3Interface2,4.679813705040309e-05,,50,Interface2,0.4843592221208788,0.45,1.5490007329319289,0.1,0.1485769276509193,49.63913458909249,0.45,PS3,0.0
PS3Interface2,0.0002720495434865,,61,Interface2,0.4969700971341658,0.45,1.2762513048069477,0.1,0.3028281053729392,35.73554950052008,0.45,PS3,0.0024472920245799
PS3Interface2,0.0,,56,Interface2,0.4963474948264744,0.45,1.740901535504718,0.1,0.2185863069308496,31.176995046020167,0.45,PS3,0.0002056536172338
PS3Interface2,0.0,,52,Interface2,0.4962770369868249,0.45,1.2875660007116612,0.1,0.1976210365263801,26.68753185611405,0.45,PS3,0.0036188790621642
PS3Interface2,0.0003398733587396,,59,Interface2,0.4343721590487563,0.45,1.9151130654721709,0.1,0.1835277046148283,31.69807056709424,0.45,PS3,0.0
PS3Interface2,0.0,,69,Interface2,0.0,0.45,1.6403607589867624,0.1,0.1332931837495146,46.19931573307747,0.45,PS3,0.0031494810409702
PS3Interface2,0.0,,64,Interface2,0.4964204984264401,0.45,1.857474706520606,0.1,0.2845815119666927,36.03646708185273,0.45,PS3,0.0
PS3Interface2,0.0,,60,Interface2,0.497080376636147,0.45,1.4059452182003298,0.1,0.2859071042984389,33.772064100838854,0.45,PS3,0.0210858382068369
